stock_code,total_return,annual_return,max_drawdown,sharpe_ratio,trade_count
600549,0.0,0.0,0.0,-4.646175966286098e+16,0
002926,0.0,0.0,0.0,-4.646175966286098e+16,0
002966,0.0,0.0,0.0,-4.646175966286098e+16,0
600737,0.0,0.0,0.0,-4.646175966286098e+16,0
600511,0.0,0.0,0.0,-4.646175966286098e+16,0
600685,0.0,0.0,0.0,-4.646175966286098e+16,0
600688,0.0,0.0,0.0,-4.646175966286098e+16,0
600739,0.0,0.0,0.0,-4.646175966286098e+16,0
600655,0.0,0.0,0.0,-4.646175966286098e+16,0
600598,0.0,0.0,0.0,-4.646175966286098e+16,0
600637,0.0,0.0,0.0,-4.646175966286098e+16,0
600642,0.0,0.0,0.0,-4.646175966286098e+16,0
600968,0.0,0.0,0.0,-4.646175966286098e+16,0
002939,0.0,0.0,0.0,-4.646175966286098e+16,0
600578,0.0,0.0,0.0,-4.646175966286098e+16,0
600528,0.0,0.0,0.0,-4.646175966286098e+16,0
600517,0.0,0.0,0.0,-4.646175966286098e+16,0
000783,0.0,0.0,0.0,-4.646175966286098e+16,0
600007,0.0,0.0,0.0,-4.646175966286098e+16,0
600021,0.0,0.0,0.0,-4.646175966286098e+16,0
600098,0.0,0.0,0.0,-4.646175966286098e+16,0
000050,0.0,0.0,0.0,-4.646175966286098e+16,0
000898,0.0,0.0,0.0,-4.646175966286098e+16,0
000883,0.0,0.0,0.0,-4.646175966286098e+16,0
000027,0.0,0.0,0.0,-4.646175966286098e+16,0
000878,0.0,0.0,0.0,-4.646175966286098e+16,0
000785,0.0,0.0,0.0,-4.646175966286098e+16,0
000738,0.0,0.0,0.0,-4.646175966286098e+16,0
600141,0.0,0.0,0.0,-4.646175966286098e+16,0
600004,0.0,0.0,0.0,-4.646175966286098e+16,0
600166,0.0,0.0,0.0,-4.646175966286098e+16,0
600177,0.0,0.0,0.0,-4.646175966286098e+16,0
600170,0.0,0.0,0.0,-4.646175966286098e+16,0
600299,0.0,0.0,0.0,-4.646175966286098e+16,0
600332,0.0,0.0,0.0,-4.646175966286098e+16,0
600339,0.0,0.0,0.0,-4.646175966286098e+16,0
600312,0.0,0.0,0.0,-4.646175966286098e+16,0
600497,0.0,0.0,0.0,-4.646175966286098e+16,0
300012,0.0,0.0,0.0,-4.646175966286098e+16,0
600153,0.0,0.0,0.0,-4.646175966286098e+16,0
300146,0.0,0.0,0.0,-4.646175966286098e+16,0
600390,0.0,0.0,0.0,-4.646175966286098e+16,0
600380,0.0,0.0,0.0,-4.646175966286098e+16,0
600369,0.0,0.0,0.0,-4.646175966286098e+16,0
600352,0.0,0.0,0.0,-4.646175966286098e+16,0
601179,0.0,0.0,0.0,-4.646175966286098e+16,0
601198,0.0,0.0,0.0,-4.646175966286098e+16,0
601212,0.0,0.0,0.0,-4.646175966286098e+16,0
601228,0.0,0.0,0.0,-4.646175966286098e+16,0
600977,0.0,0.0,0.0,-4.646175966286098e+16,0
600988,0.0,0.0,0.0,-4.646175966286098e+16,0
002797,0.0,0.0,0.0,-4.646175966286098e+16,0
601000,0.0,0.0,0.0,-4.646175966286098e+16,0
002673,0.0,0.0,0.0,-4.646175966286098e+16,0
601928,0.0,0.0,0.0,-4.646175966286098e+16,0
601997,0.0,0.0,0.0,-4.646175966286098e+16,0
603077,0.0,0.0,0.0,-4.646175966286098e+16,0
601958,0.0,0.0,0.0,-4.646175966286098e+16,0
601577,0.0,0.0,0.0,-4.646175966286098e+16,0
601990,0.0,0.0,0.0,-4.646175966286098e+16,0
002372,0.0,0.0,0.0,-4.646175966286098e+16,0
002461,0.0,0.0,0.0,-4.646175966286098e+16,0
002472,0.0,0.0,0.0,-4.646175966286098e+16,0
601019,0.0,0.0,0.0,-4.646175966286098e+16,0
002517,0.0,0.0,0.0,-4.646175966286098e+16,0
601098,0.0,0.0,0.0,-4.646175966286098e+16,0
601118,0.0,0.0,0.0,-4.646175966286098e+16,0
601106,0.0,0.0,0.0,-4.646175966286098e+16,0
601099,0.0,0.0,0.0,-4.646175966286098e+16,0
601139,0.0,0.0,0.0,-4.646175966286098e+16,0
601333,0.0,0.0,0.0,-4.646175966286098e+16,0
601598,0.0,0.0,0.0,-4.646175966286098e+16,0
601608,0.0,0.0,0.0,-4.646175966286098e+16,0
601611,0.0,0.0,0.0,-4.646175966286098e+16,0
000967,0.0,0.0,0.0,-4.646175966286098e+16,0
000729,0.0,0.0,0.0,-4.646175966286098e+16,0
601128,0.0,0.0,0.0,-4.646175966286098e+16,0
002318,0.0,0.0,0.0,-4.646175966286098e+16,0
002299,0.0,0.0,0.0,-4.646175966286098e+16,0
002294,0.0,0.0,0.0,-4.646175966286098e+16,0
002281,0.0,0.0,0.0,-4.646175966286098e+16,0
002423,0.0,0.0,0.0,-4.646175966286098e+16,0
601699,0.0,0.0,0.0,-4.646175966286098e+16,0
002385,0.0,0.0,0.0,-4.646175966286098e+16,0
002078,0.0,0.0,0.0,-4.646175966286098e+16,0
002202,0.0,0.0,0.0,-4.646175966286098e+16,0
002203,0.0,0.0,0.0,-4.646175966286098e+16,0
002223,0.0,0.0,0.0,-4.646175966286098e+16,0
002244,0.0,0.0,0.0,-4.646175966286098e+16,0
002262,0.0,0.0,0.0,-4.646175966286098e+16,0
603156,0.0,0.0,0.0,-4.646175966286098e+16,0
603225,0.0,0.0,0.0,-4.646175966286098e+16,0
603606,0.0,0.0,0.0,-4.646175966286098e+16,0
002056,0.0,0.0,0.0,-4.646175966286098e+16,0
002032,0.0,0.0,0.0,-4.646175966286098e+16,0
002085,0.0,0.0,0.0,-4.646175966286098e+16,0
000623,0.0,0.0,0.0,-4.646175966286098e+16,0
000709,0.0,0.0,0.0,-4.646175966286098e+16,0
000060,0.0,0.0,0.0,-4.646175966286098e+16,0
603858,0.0,0.0,0.0,-4.646175966286098e+16,0
603766,0.0,0.0,0.0,-4.646175966286098e+16,0
000563,0.0,0.0,0.0,-4.646175966286098e+16,0
000582,0.0,0.0,0.0,-4.646175966286098e+16,0
000598,0.0,0.0,0.0,-4.646175966286098e+16,0
000539,0.0,0.0,0.0,-4.646175966286098e+16,0
000429,0.0,0.0,0.0,-4.646175966286098e+16,0
000513,0.0,0.0,0.0,-4.646175966286098e+16,0
000415,0.0,0.0,0.0,-4.646175966286098e+16,0
000423,0.0,0.0,0.0,-4.646175966286098e+16,0
001389,0.0,0.0,0.0,-6.949391537221961e+16,0
001286,0.0,0.0,0.0,-6.9632923200114104e+16,0
601061,0.0,0.0,0.0,-6.9632923200114104e+16,0
688114,0.0,0.0,0.0,-6.965620791007775e+16,0
688297,0.0,0.0,0.0,-6.966211134415261e+16,0
301200,0.0,0.0,0.0,-6.966945889788039e+16,0
601921,0.0,0.0,0.0,-6.967881989181606e+16,0
601399,0.0,0.0,0.0,-6.968982285277801e+16,0
002670,0.0,0.0,0.0,-6.969187111050997e+16,0
600970,0.0,0.0,0.0,-6.9692079899768824e+16,0
600157,0.0,0.0,0.0,-6.969228582828814e+16,0
601555,0.0,0.0,0.0,-6.969233687030566e+16,0
000830,0.0,0.0,0.0,-6.969238773808117e+16,0
600720,0.0,0.0,0.0,-6.969238773808117e+16,0
000958,0.0,0.0,0.0,-6.969238773808117e+16,0
000559,0.0,0.0,0.0,-6.969238773808117e+16,0
600663,0.0,0.0,0.0,-6.969238773808117e+16,0
300070,0.0,0.0,0.0,-6.969241310690674e+16,0
002739,0.0,0.0,0.0,-6.9692514151041304e+16,0
002429,0.0,0.0,0.0,-6.9692514151041304e+16,0
600282,0.0,0.0,0.0,-6.969253930483217e+16,0
002266,0.0,0.0,0.0,-6.9692614510565944e+16,0
688615,0.0,0.0,0.0,-1.3737832268416382e+17,0
000528,0.0,0.0,0.0,-1.393842115921348e+17,0
